"","SubID","PatternType","RT","Acc","Speed","Gender","Coh","group"
"130",1043,"radial",1.3178,TRUE,"2deg/s","Male",0.3,"child"
"131",1043,"linear",1.868,TRUE,"8deg/s","Male",0.3,"child"
"132",1043,"linear",5.1377,TRUE,"8deg/s","Male",0.6,"child"
"133",1043,"linear",1.8399,TRUE,"2deg/s","Male",0.15,"child"
"134",1043,"radial",1.5118,TRUE,"2deg/s","Male",0.45,"child"
"135",1043,"linear",1.1692,TRUE,"8deg/s","Male",0.3,"child"
"136",1043,"linear",2.819,TRUE,"2deg/s","Male",0.6,"child"
"137",1043,"linear",3.7697,TRUE,"8deg/s","Male",0.15,"child"
"138",1043,"radial",3.0213,TRUE,"8deg/s","Male",0.6,"child"
"139",1043,"radial",1.6522,TRUE,"2deg/s","Male",0.6,"child"
"140",1043,"linear",5.1048,TRUE,"8deg/s","Male",0.15,"child"
"141",1043,"linear",5.7715,TRUE,"2deg/s","Male",0.3,"child"
"142",1043,"linear",4.137,FALSE,"2deg/s","Male",0.45,"child"
"143",1043,"radial",1.4738,TRUE,"2deg/s","Male",0.15,"child"
"144",1043,"linear",1.719,FALSE,"2deg/s","Male",0.3,"child"
"145",1043,"radial",2.9027,TRUE,"2deg/s","Male",0.6,"child"
"146",1043,"linear",2.1518,TRUE,"8deg/s","Male",0.6,"child"
"147",1043,"linear",1.9689,TRUE,"8deg/s","Male",0.6,"child"
"148",1043,"linear",1.7233,TRUE,"2deg/s","Male",0.3,"child"
"149",1043,"linear",4.308,FALSE,"2deg/s","Male",0.15,"child"
"150",1043,"linear",1.4851,TRUE,"8deg/s","Male",0.6,"child"
"151",1043,"linear",4.3201,TRUE,"2deg/s","Male",0.3,"child"
"152",1043,"radial",2.1186,FALSE,"8deg/s","Male",0.15,"child"
"153",1043,"radial",1.6189,TRUE,"2deg/s","Male",0.6,"child"
"154",1043,"radial",1.673,TRUE,"8deg/s","Male",0.15,"child"
"155",1043,"linear",2.27,FALSE,"2deg/s","Male",0.3,"child"
"156",1043,"linear",1.8439,TRUE,"8deg/s","Male",0.6,"child"
"157",1043,"linear",1.3407,TRUE,"8deg/s","Male",0.45,"child"
"158",1043,"linear",5.3881,TRUE,"8deg/s","Male",0.15,"child"
"159",1043,"linear",2.8558,TRUE,"8deg/s","Male",0.15,"child"
"160",1043,"radial",3.1537,TRUE,"8deg/s","Male",0.3,"child"
"161",1043,"linear",4.4536,TRUE,"8deg/s","Male",0.45,"child"
"162",1043,"linear",1.5179,FALSE,"2deg/s","Male",0.15,"child"
"163",1043,"linear",3.303,TRUE,"2deg/s","Male",0.3,"child"
"164",1043,"radial",2.8857,TRUE,"8deg/s","Male",0.3,"child"
"165",1043,"linear",2.2685,FALSE,"8deg/s","Male",0.15,"child"
"166",1043,"linear",3.6777,FALSE,"8deg/s","Male",0.15,"child"
"167",1043,"radial",1.5015,TRUE,"2deg/s","Male",0.3,"child"
"168",1043,"linear",1.6701,FALSE,"2deg/s","Male",0.45,"child"
"169",1043,"radial",2.5357,TRUE,"8deg/s","Male",0.3,"child"
"170",1043,"radial",2.1521,TRUE,"8deg/s","Male",0.3,"child"
"171",1043,"radial",3.2695,FALSE,"2deg/s","Male",0.15,"child"
"172",1043,"radial",1.7692,TRUE,"2deg/s","Male",0.6,"child"
"173",1043,"radial",4.5052,TRUE,"2deg/s","Male",0.45,"child"
"174",1043,"linear",1.5852,TRUE,"8deg/s","Male",0.3,"child"
"175",1043,"linear",2.1892,TRUE,"8deg/s","Male",0.3,"child"
"176",1043,"linear",2.3519,TRUE,"2deg/s","Male",0.3,"child"
"177",1043,"radial",1.5515,TRUE,"8deg/s","Male",0.15,"child"
"178",1043,"linear",2.1852,TRUE,"8deg/s","Male",0.45,"child"
"179",1043,"linear",2.5522,TRUE,"8deg/s","Male",0.45,"child"
"180",1043,"radial",5.0707,TRUE,"2deg/s","Male",0.3,"child"
"181",1043,"linear",2.4395,FALSE,"8deg/s","Male",0.15,"child"
"182",1043,"radial",2.7025,TRUE,"2deg/s","Male",0.45,"child"
"183",1043,"linear",2.4356,TRUE,"2deg/s","Male",0.45,"child"
"184",1043,"radial",7.8905,FALSE,"2deg/s","Male",0.15,"child"
"185",1043,"radial",1.9516,TRUE,"8deg/s","Male",0.45,"child"
"186",1043,"linear",1.6515,TRUE,"8deg/s","Male",0.3,"child"
"187",1043,"linear",4.5881,TRUE,"2deg/s","Male",0.3,"child"
"188",1043,"radial",3.1196,TRUE,"8deg/s","Male",0.3,"child"
"189",1043,"radial",2.886,TRUE,"2deg/s","Male",0.15,"child"
"190",1043,"linear",1.6887,TRUE,"8deg/s","Male",0.45,"child"
"191",1043,"radial",2.2852,TRUE,"2deg/s","Male",0.45,"child"
"192",1043,"linear",1.2356,TRUE,"8deg/s","Male",0.45,"child"
"193",1043,"radial",1.0286,TRUE,"8deg/s","Male",0.6,"child"
"194",1043,"radial",1.5684,TRUE,"8deg/s","Male",0.45,"child"
"195",1043,"radial",1.1845,TRUE,"8deg/s","Male",0.6,"child"
"196",1043,"radial",2.2188,TRUE,"2deg/s","Male",0.3,"child"
"197",1043,"radial",1.6566,TRUE,"8deg/s","Male",0.3,"child"
"198",1043,"linear",5.2211,TRUE,"2deg/s","Male",0.6,"child"
"199",1043,"radial",2.005,TRUE,"8deg/s","Male",0.6,"child"
"200",1043,"linear",2.2189,TRUE,"8deg/s","Male",0.3,"child"
"201",1043,"linear",5.0875,TRUE,"8deg/s","Male",0.45,"child"
"202",1043,"radial",2.1686,TRUE,"2deg/s","Male",0.6,"child"
