"SubID","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Speed","AgeDays","Gender","Condition","Group","group.name","Coh"
"1043",2,13,"linear",0.45,0,"R",7.1104,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",1,5,"linear",0,0.6,"R",1.9683,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,8,"linear",0,0.15,"R",2.6522,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,8,"linear",0.15,0,"L",5.7884,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,2,"radial",0,0.15,"R",4.8377,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,2,"radial",0,0.15,"R",3.1695,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,15,"linear",0,0.15,"L",2.602,FALSE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,15,"radial",0.15,0,"L",1.1678,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,13,"linear",0.3,0,"L",5.1878,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,9,"radial",0,0.3,"R",1.556,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,13,"linear",0,0.3,"R",1.9282,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,8,"radial",0.45,0,"L",5.31,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,7,"radial",0,0.15,"R",3.8369,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,8,"radial",0.45,0,"L",1.2179,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,3,"linear",0.6,0,"L",1.3512,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,10,"radial",0.15,0,"L",1.3679,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,2,"radial",0,0.15,"R",2.886,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,3,"linear",0.6,0,"L",1.4016,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,10,"radial",0.6,0,"L",3.2865,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,12,"linear",0,0.15,"R",6.0219,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,5,"radial",0,0.3,"R",2.3855,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,6,"radial",0.45,0,"L",1.6517,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,16,"radial",0,0.45,"R",1.5025,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,4,"radial",0,0.45,"R",1.3179,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,12,"radial",0,0.6,"L",2.4721,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,7,"linear",0,0.45,"R",1.5028,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,14,"linear",0,0.6,"L",3.2872,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,6,"radial",0.45,0,"L",1.6015,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,7,"radial",0.6,0,"L",1.418,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,1,"linear",0,0.6,"R",2.2868,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
