ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears,Age,SubID,Speed
1,Oct-14,2,15,radial,0.1,0,L,2.869,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,2,15,radial,0.2,0,L,0.90094,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,2,16,linear,0.15,0,L,1.0873,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,2,16,linear,0,0.05,R,NA,TRUE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,1,radial,0.2,0,L,0.98428,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,1,radial,0.15,0,L,1.8348,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,2,radial,0,0.05,L,1.0511,FALSE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,2,radial,0.1,0,L,2.1386,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,3,radial,0,0.2,R,0.83418,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,3,radial,0,0.15,R,1.001,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,4,radial,0,0.15,R,1.7348,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,4,radial,0,0.2,R,1.0356,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,5,linear,0.1,0,R,2.686,FALSE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,5,radial,0.05,0,R,1.568,FALSE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,6,linear,0.2,0,L,1.151,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
