"","ParticipantID","SessionDate","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Coh","Run","DegPSec","session.id","session.name","participant.gender","participant.race","participant.ethnicity","participant.language","participant.setting","participant.state","task.ident","task2.ident","task2.description","group.ident","AgeYears"
"39",1,2014-10-13,5,3,"linear",0.2,0,"L",1.2381,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"40",1,2014-10-13,5,7,"linear",0,0.2,"R",0.95095,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"41",1,2014-10-13,1,6,"radial",0,0.05,"L",1.1844,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"42",1,2014-10-13,1,11,"radial",0.05,0,"R",2.3854,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"43",1,2014-10-13,2,6,"radial",0,0.05,"L",1.4181,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"44",1,2014-10-13,2,11,"radial",0.05,0,"R",2.2852,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"45",1,2014-10-13,3,2,"radial",0,0.05,"L",1.0511,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"46",1,2014-10-13,3,10,"radial",0.05,0,"L",3.2201,"TRUE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"47",1,2014-10-13,4,3,"radial",0,0.05,"R",2.2352,"TRUE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"48",1,2014-10-13,4,11,"radial",0.05,0,"L",1.8351,"TRUE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
